StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q20,Q5,Q6,Q7,Q8,Q9,Q16,Q10,Q11,Q18,Q12,Q13,Q19,Q14,Q15,Q20
2026-05-19 17:00:55,2026-05-19 17:03:28,Dirección IP,200.1.118.7,100,153,Verdadero,2026-05-19 17:03:29,R_6kufY4CmTz7O5qf,,,,,-34.6142,-58.3811,anonymous,ES-ES,23,Hombre/Masculino,Universitario,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,"Raramente (en fechas especiales, algunas veces al año)",No me identifico con ninguno,No fui a votar,Si,No,Algo importante,Si,,,,,,,,,
2026-05-19 17:03:06,2026-05-19 17:05:28,Dirección IP,152.171.174.136,100,142,Verdadero,2026-05-19 17:05:29,R_1eyH8JdUjsIecVx,,,,,-36,-59.9964,anonymous,ES-ES,23,Mujer/Femenino,Universitario,En desacuerdo,De acuerdo,En desacuerdo,Totalmente de acuerdo,De acuerdo,Nunca,No me identifico con ninguno,No fui a votar,No,No,Algo importante,Si,,,,,,,,,
2026-05-19 17:03:23,2026-05-19 17:08:17,Dirección IP,186.109.20.207,100,294,Verdadero,2026-05-19 17:08:18,R_6mAHqCxFYMNzPhL,,,,,-36,-59.9964,anonymous,ES-ES,22,Mujer/Femenino,Universitario,En desacuerdo,Totalmente en desacuerdo,En desacuerdo,De acuerdo,Totalmente de acuerdo,"Raramente (en fechas especiales, algunas veces al año)",No me identifico con ninguno,No fui a votar,No,,,,,,,No,Poco importante,Si,,,
2026-05-19 17:06:08,2026-05-19 17:08:30,Dirección IP,186.109.93.226,100,142,Verdadero,2026-05-19 17:08:31,R_5dyqolLn0MmwHy0,,,,,-26.7964,-60.8316,anonymous,ES-ES,22,Mujer/Femenino,Universitario,En desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Nunca,No me identifico con ninguno,Javier Milei,Si,,,,Si,Poco importante,Si,,,,,,
2026-05-19 17:08:35,2026-05-19 17:10:29,Dirección IP,181.9.206.21,100,114,Verdadero,2026-05-19 17:10:30,R_1L2bWsCaZaCn6pr,,,,,-34.6142,-58.3811,anonymous,ES-ES,22,Mujer/Femenino,Universitario,En desacuerdo,En desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,"Raramente (en fechas especiales, algunas veces al año)",No me identifico con ninguno,Javier Milei,No,,,,Si,Nada importante,Si,,,,,,
2026-05-19 17:11:54,2026-05-19 17:19:12,Dirección IP,190.221.159.218,100,438,Verdadero,2026-05-19 17:19:13,R_10Ex1LdDPFwvCbD,,,,,-34.6022,-58.3845,anonymous,ES-ES,23,Mujer/Femenino,Universitario,De acuerdo,En desacuerdo,En desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Nunca,La Libertad Avanza,Javier Milei,Si,,,,,,,,,,Si,Muy importante,No
2026-05-19 17:17:09,2026-05-19 17:19:35,Dirección IP,186.109.93.226,100,146,Verdadero,2026-05-19 17:19:35,R_5KjqoilsMNHQPZf,,,,,-26.7964,-60.8316,anonymous,ES-ES,22,Mujer/Femenino,Universitario,En desacuerdo,Totalmente en desacuerdo,En desacuerdo,De acuerdo,Totalmente de acuerdo,Nunca,No me identifico con ninguno,Javier Milei,Si,Si,Algo importante,Si,,,,,,,,,
2026-05-19 17:18:10,2026-05-19 17:21:45,Dirección IP,190.221.159.219,100,215,Verdadero,2026-05-19 17:21:46,R_7X6u6XO3yHiObg0,,,,,-34.6022,-58.3845,anonymous,ES-ES,22,Mujer/Femenino,Universitario,Totalmente en desacuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,"Raramente (en fechas especiales, algunas veces al año)",No me identifico con ninguno,No fui a votar,Si,No,Algo importante,Si,,,,,,,,,
2026-05-19 17:22:32,2026-05-19 17:25:19,Dirección IP,186.22.19.97,100,166,Verdadero,2026-05-19 17:25:20,R_5NypWnoAtzWJfSF,,,,,-34.9309,-57.9417,anonymous,ES-ES,23,Hombre/Masculino,Universitario,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,Totalmente de acuerdo,"Raramente (en fechas especiales, algunas veces al año)",No me identifico con ninguno,Javier Milei,Si,Si,Muy importante,Si,,,,,,,,,
2026-05-19 17:22:57,2026-05-19 17:25:41,Dirección IP,190.99.65.18,100,164,Verdadero,2026-05-19 17:25:41,R_6NJNv3559tufszZ,,,,,-34.8569,-58.0578,anonymous,ES-ES,24,Hombre/Masculino,Universitario,De acuerdo,En desacuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Nunca,No me identifico con ninguno,Javier Milei,Si,No,Algo importante,Si,,,,,,,,,
2026-05-19 17:22:38,2026-05-19 17:25:49,Dirección IP,104.28.59.0,100,190,Verdadero,2026-05-19 17:25:49,R_3ePvf9PgxSunCud,,,,,-34.7164,-58.387,anonymous,ES-ES,24,Mujer/Femenino,Universitario,En desacuerdo,Totalmente en desacuerdo,En desacuerdo,De acuerdo,Totalmente de acuerdo,Nunca,No me identifico con ninguno,Juan Schiaretti,Si,,,,Si,Muy importante,Si,,,,,,
2026-05-19 17:18:34,2026-05-19 17:26:30,Dirección IP,78.141.167.93,100,475,Verdadero,2026-05-19 17:26:30,R_8ZUoFaQs5DAnYUd,,,,,49.5439,6.3711,anonymous,ES-ES,22,Mujer/Femenino,Universitario,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,Totalmente de acuerdo,Nunca,No me identifico con ninguno,Javier Milei,Si,,,,,,,No,Muy importante,Si,,,
2026-05-19 17:24:40,2026-05-19 17:27:35,Dirección IP,186.109.93.226,100,175,Verdadero,2026-05-19 17:27:36,R_1kdETCMgzrOjBuW,,,,,-26.7964,-60.8316,anonymous,ES-ES,22,Mujer/Femenino,Universitario,De acuerdo,De acuerdo,Totalmente de acuerdo,En desacuerdo,Totalmente de acuerdo,"Raramente (en fechas especiales, algunas veces al año)",La Libertad Avanza,Javier Milei,Si,,,,,,,No,Muy importante,Si,,,
2026-05-19 17:26:05,2026-05-19 17:27:41,Dirección IP,186.127.188.112,100,95,Verdadero,2026-05-19 17:27:41,R_1CDXuXrKprMmUTj,,,,,-34.9309,-57.9417,anonymous,ES-ES,22,Hombre/Masculino,Universitario,Totalmente de acuerdo,De acuerdo,En desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Nunca,No me identifico con ninguno,Javier Milei,Si,,,,Si,Muy importante,Si,,,,,,
2026-05-19 17:22:30,2026-05-19 17:27:42,Dirección IP,190.18.167.144,100,312,Verdadero,2026-05-19 17:27:43,R_3ciRDkj3iLZEEGH,,,,,-34.9309,-57.9417,anonymous,ES-ES,22,Hombre/Masculino,Universitario,En desacuerdo,De acuerdo,Totalmente en desacuerdo,De acuerdo,Totalmente de acuerdo,Ocasionalmente (al menos una vez al mes),La Libertad Avanza,Javier Milei,Si,Si,Algo importante,Si,,,,,,,,,
2026-05-19 17:24:59,2026-05-19 17:27:52,Dirección IP,181.85.140.240,100,172,Verdadero,2026-05-19 17:27:52,R_3tos8d7tZNGXFDj,,,,,-34.8635,-58.0188,anonymous,ES-ES,22,Hombre/Masculino,Universitario,Totalmente de acuerdo,En desacuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Nunca,PRO,Juan Schiaretti,Si,,,,Si,Muy importante,Si,,,,,,
2026-05-19 17:25:06,2026-05-19 17:28:12,Dirección IP,181.170.64.128,100,185,Verdadero,2026-05-19 17:28:12,R_6C9AmxgDBhCQaVX,,,,,-34.9309,-57.9417,anonymous,ES-ES,23,Mujer/Femenino,Universitario,En desacuerdo,En desacuerdo,En desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Nunca,No me identifico con ninguno,Sergio Massa,Si,,,,,,,,,,Si,Algo importante,No
2026-05-19 17:26:22,2026-05-19 17:28:14,Dirección IP,181.230.105.49,100,112,Verdadero,2026-05-19 17:28:15,R_60IQ2NaqxIXkkxC,,,,,-34.9309,-57.9417,anonymous,ES-ES,21,Hombre/Masculino,Universitario,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,Totalmente de acuerdo,"Raramente (en fechas especiales, algunas veces al año)",La Libertad Avanza,Javier Milei,Si,,,,Si,Muy importante,Si,,,,,,
2026-05-19 17:25:46,2026-05-19 17:28:33,Dirección IP,181.169.226.161,100,166,Verdadero,2026-05-19 17:28:34,R_7KxcePrgkJWwMDP,,,,,-34.9309,-57.9417,anonymous,ES-ES,22,Hombre/Masculino,Universitario,En desacuerdo,De acuerdo,En desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Nunca,"Unión por la Patria - Peronismo (incluye kirchnerismo, Peronismo Federal, Frente Renovador)",Sergio Massa,Si,Si,Poco importante,No,,,,,,,,,
2026-05-19 17:26:23,2026-05-19 17:28:57,Dirección IP,181.166.199.210,100,153,Verdadero,2026-05-19 17:28:58,R_5qDrgk22Fe9Jqr5,,,,,-34.8569,-58.0578,anonymous,ES-ES,21,Hombre/Masculino,Universitario,Totalmente en desacuerdo,Totalmente en desacuerdo,En desacuerdo,De acuerdo,Totalmente de acuerdo,Ocasionalmente (al menos una vez al mes),"Unión por la Patria - Peronismo (incluye kirchnerismo, Peronismo Federal, Frente Renovador)",Sergio Massa,Si,,,,,,,Si,Muy importante,Si,,,
2026-05-19 17:26:09,2026-05-19 17:29:36,Dirección IP,186.141.203.2,100,206,Verdadero,2026-05-19 17:29:37,R_5v7Cnc1jAas0xTQ,,,,,-34.6142,-58.3811,anonymous,ES-ES,26,Mujer/Femenino,Universitario,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,Totalmente de acuerdo,"Raramente (en fechas especiales, algunas veces al año)",La Libertad Avanza,Javier Milei,Si,No,Poco importante,Si,,,,,,,,,
2026-05-19 17:25:53,2026-05-19 17:29:44,Dirección IP,190.18.223.127,100,230,Verdadero,2026-05-19 17:29:44,R_5hcoKzbgsPaCQ5K,,,,,-34.9309,-57.9417,anonymous,ES-ES,22,Hombre/Masculino,Universitario,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Totalmente de acuerdo,"Raramente (en fechas especiales, algunas veces al año)",No me identifico con ninguno,Javier Milei,Si,,,,,,,,,,Si,Algo importante,Si
2026-05-19 17:27:07,2026-05-19 17:30:10,Dirección IP,186.109.93.226,100,182,Verdadero,2026-05-19 17:30:11,R_5R7VSth8hPGlHQw,,,,,-26.7964,-60.8316,anonymous,ES-ES,22,Mujer/Femenino,Universitario,De acuerdo,De acuerdo,En desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Nunca,No me identifico con ninguno,No fui a votar,Si,,,,No,Muy importante,No,,,,,,
2026-05-19 17:25:05,2026-05-19 17:30:12,Dirección IP,186.143.201.132,100,307,Verdadero,2026-05-19 17:30:13,R_6ztJurj3Koy1M0O,,,,,-34.6142,-58.3811,anonymous,ES-ES,22,Mujer/Femenino,Universitario,En desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,De acuerdo,Totalmente de acuerdo,Nunca,"Unión por la Patria - Peronismo (incluye kirchnerismo, Peronismo Federal, Frente Renovador)",Sergio Massa,Si,,,,,,,,,,Si,Algo importante,Si
2026-05-19 17:25:05,2026-05-19 17:30:51,Dirección IP,186.143.206.182,100,345,Verdadero,2026-05-19 17:30:52,R_7HpM2MS2MDGhS2Q,,,,,-34.6142,-58.3811,anonymous,ES-ES,21,Hombre/Masculino,Universitario,De acuerdo,En desacuerdo,En desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Nunca,"Unión por la Patria - Peronismo (incluye kirchnerismo, Peronismo Federal, Frente Renovador)",Sergio Massa,Si,,,,,,,,,,No,Muy importante,Si
2026-05-19 17:27:52,2026-05-19 17:31:07,Dirección IP,200.117.139.168,100,195,Verdadero,2026-05-19 17:31:08,R_6v39PKnU9H6GOYJ,,,,,-36,-59.9964,anonymous,ES-ES,22,Mujer/Femenino,Universitario,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Totalmente de acuerdo,Nunca,La Libertad Avanza,Javier Milei,No,Si,Algo importante,Si,,,,,,,,,
2026-05-19 17:28:44,2026-05-19 17:32:01,Dirección IP,181.116.90.146,100,196,Verdadero,2026-05-19 17:32:01,R_37pqoWrn8pxoTZI,,,,,-34.9309,-57.9417,anonymous,ES-ES,24,Hombre/Masculino,Universitario,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Totalmente de acuerdo,Nunca,No me identifico con ninguno,Javier Milei,Si,,,,,,,,,,Si,Muy importante,Si
2026-05-19 17:30:40,2026-05-19 17:32:41,Dirección IP,181.239.206.211,100,120,Verdadero,2026-05-19 17:32:41,R_30FG5isKrZCJqxj,,,,,-34.6022,-58.3845,anonymous,ES-ES,22,Mujer/Femenino,Universitario,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,De acuerdo,Totalmente de acuerdo,Nunca,PRO,Patricia Bullrich,Si,Si,Muy importante,Si,,,,,,,,,
2026-05-19 17:25:32,2026-05-19 17:33:40,Dirección IP,172.225.222.135,100,488,Verdadero,2026-05-19 17:33:41,R_6P5eKJXcbAonvoZ,,,,,-34.6142,-58.3811,anonymous,ES-ES,21,Hombre/Masculino,Universitario,En desacuerdo,Totalmente de acuerdo,De acuerdo,En desacuerdo,De acuerdo,"Raramente (en fechas especiales, algunas veces al año)",No me identifico con ninguno,Javier Milei,Si,,,,,,,,,,Si,Algo importante,Si
2026-05-19 17:32:07,2026-05-19 17:34:26,Dirección IP,190.221.159.194,100,138,Verdadero,2026-05-19 17:34:26,R_1hiEAISI76qfyvP,,,,,-34.6022,-58.3845,anonymous,ES-ES,22,Mujer/Femenino,Universitario,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,Totalmente de acuerdo,"Raramente (en fechas especiales, algunas veces al año)",PRO,Javier Milei,Si,,,,,,,,,,Si,Muy importante,Si
2026-05-19 17:32:02,2026-05-19 17:34:26,Dirección IP,185.246.39.189,100,143,Verdadero,2026-05-19 17:34:27,R_8iHbBAPdNKejSLf,,,,,41.0198,14.4973,anonymous,ES-ES,23,Mujer/Femenino,Universitario,Totalmente en desacuerdo,De acuerdo,En desacuerdo,De acuerdo,Totalmente de acuerdo,Nunca,No me identifico con ninguno,No fui a votar,Si,Si,Algo importante,No,,,,,,,,,
2026-05-19 17:32:11,2026-05-19 17:34:28,Dirección IP,190.245.70.44,100,136,Verdadero,2026-05-19 17:34:28,R_3h43odPNQUx3JCN,,,,,-34.9309,-57.9417,anonymous,ES-ES,24,Hombre/Masculino,Universitario,En desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Nunca,Otro,Javier Milei,Si,Si,Muy importante,Si,,,,,,,,,
2026-05-19 17:28:39,2026-05-19 17:34:34,Dirección IP,181.170.73.66,100,354,Verdadero,2026-05-19 17:34:35,R_3jZNL8F9LppESR5,,,,,-34.9309,-57.9417,anonymous,ES-ES,20,Mujer/Femenino,Universitario,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Totalmente de acuerdo,"Raramente (en fechas especiales, algunas veces al año)",PRO,Patricia Bullrich,Si,,,,,,,No,Muy importante,Si,,,
2026-05-19 17:31:50,2026-05-19 17:34:52,Dirección IP,190.55.217.121,100,181,Verdadero,2026-05-19 17:34:52,R_563Uo1AbHyd6Aq2,,,,,-34.9309,-57.9417,anonymous,ES-ES,23,Mujer/Femenino,Universitario,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,Totalmente de acuerdo,Nunca,No me identifico con ninguno,Prefiero no responder,Si,Si,Muy importante,Si,,,,,,,,,
2026-05-19 17:31:43,2026-05-19 17:35:03,Dirección IP,186.157.164.34,100,200,Verdadero,2026-05-19 17:35:04,R_1uHx3XDCsSzMMdr,,,,,-34.6022,-58.3845,anonymous,ES-ES,22,Hombre/Masculino,Universitario,En desacuerdo,De acuerdo,Totalmente en desacuerdo,De acuerdo,Totalmente de acuerdo,Nunca,"Unión por la Patria - Peronismo (incluye kirchnerismo, Peronismo Federal, Frente Renovador)",Sergio Massa,Si,Si,Poco importante,No,,,,,,,,,
2026-05-19 17:32:26,2026-05-19 17:35:05,Dirección IP,186.158.220.93,100,159,Verdadero,2026-05-19 17:35:06,R_1fd63RqLYv2vJVY,,,,,-34.7313,-58.2549,anonymous,ES-ES,22,Hombre/Masculino,Universitario,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,"Raramente (en fechas especiales, algunas veces al año)",La Libertad Avanza,Javier Milei,Si,,,,Si,Poco importante,No,,,,,,
2026-05-19 17:33:25,2026-05-19 17:35:19,Dirección IP,200.80.142.163,100,113,Verdadero,2026-05-19 17:35:19,R_5gMAQtpwX0EDMfk,,,,,-34.6022,-58.3845,anonymous,ES-ES,24,Mujer/Femenino,Universitario,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Regularmente (todas las semanas),La Libertad Avanza,Javier Milei,Si,,,,,,,,,,Si,Muy importante,Si
2026-05-19 17:35:54,2026-05-19 17:39:11,Dirección IP,146.75.210.23,100,196,Verdadero,2026-05-19 17:39:11,R_2SvlTKPVYrvzshW,,,,,37.3831,-5.9707,anonymous,ES-ES,22,Mujer/Femenino,Universitario,De acuerdo,Totalmente en desacuerdo,En desacuerdo,En desacuerdo,Totalmente de acuerdo,Nunca,No me identifico con ninguno,No fui a votar,Si,,,,,,,,,,Si,Algo importante,Si
2026-05-19 17:39:08,2026-05-19 17:40:50,Dirección IP,186.22.19.214,100,102,Verdadero,2026-05-19 17:40:50,R_7FlCEeyQLqmV9Iu,,,,,-34.9309,-57.9417,anonymous,ES-ES,22,Mujer/Femenino,Universitario,De acuerdo,De acuerdo,En desacuerdo,Totalmente de acuerdo,De acuerdo,Nunca,No me identifico con ninguno,Javier Milei,Si,Si,Muy importante,Si,,,,,,,,,
2026-05-19 17:26:50,2026-05-19 17:40:54,Dirección IP,161.22.2.244,100,843,Verdadero,2026-05-19 17:40:54,R_6tvoyRb7LL5oyBz,,,,,-34.4514,-58.7943,anonymous,ES-ES,22,Hombre/Masculino,Universitario,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,En desacuerdo,Totalmente de acuerdo,Nunca,La Libertad Avanza,Javier Milei,Si,,,,,,,No,Algo importante,Si,,,
